c = 0x0000, r = 0x0100
c = 0x0001, r = 0x8180
c = 0x0002, r = 0x0181
c = 0x0003, r = 0x8101
c = 0x0004, r = 0x0102
c = 0x0005, r = 0x8182
c = 0x0006, r = 0x0183
c = 0x0007, r = 0x8103
c = 0x0008, r = 0x0104
c = 0x0009, r = 0x8184
c = 0x000a, r = 0x0185
c = 0x000b, r = 0x8105
c = 0x000c, r = 0x0106
c = 0x000d, r = 0x8186
c = 0x000e, r = 0x0187
c = 0x000f, r = 0x8107
c = 0x0010, r = 0x0108
c = 0x0011, r = 0x8188
c = 0x0012, r = 0x0189
c = 0x0013, r = 0x8109
c = 0x0014, r = 0x010a
c = 0x0015, r = 0x818a
c = 0x0016, r = 0x018b
c = 0x0017, r = 0x810b
c = 0x0018, r = 0x010c
c = 0x0019, r = 0x818c
c = 0x001a, r = 0x018d
c = 0x001b, r = 0x810d
c = 0x001c, r = 0x010e
c = 0x001d, r = 0x818e
c = 0x001e, r = 0x018f
c = 0x001f, r = 0x810f
c = 0x0020, r = 0x0110
c = 0x0021, r = 0x8190
c = 0x0022, r = 0x0191
c = 0x0023, r = 0x8111
c = 0x0024, r = 0x0112
c = 0x0025, r = 0x8192
c = 0x0026, r = 0x0193
c = 0x0027, r = 0x8113
c = 0x0028, r = 0x0114
c = 0x0029, r = 0x8194
c = 0x002a, r = 0x0195
c = 0x002b, r = 0x8115
c = 0x002c, r = 0x0116
c = 0x002d, r = 0x8196
c = 0x002e, r = 0x0197
c = 0x002f, r = 0x8117
c = 0x0030, r = 0x0118
c = 0x0031, r = 0x8198
c = 0x0032, r = 0x0199
c = 0x0033, r = 0x8119
c = 0x0034, r = 0x011a
c = 0x0035, r = 0x819a
c = 0x0036, r = 0x019b
c = 0x0037, r = 0x811b
c = 0x0038, r = 0x011c
c = 0x0039, r = 0x819c
c = 0x003a, r = 0x019d
c = 0x003b, r = 0x811d
c = 0x003c, r = 0x011e
c = 0x003d, r = 0x819e
c = 0x003e, r = 0x019f
c = 0x003f, r = 0x811f
c = 0x0040, r = 0x0120
c = 0x0041, r = 0x81a0
c = 0x0042, r = 0x01a1
c = 0x0043, r = 0x8121
c = 0x0044, r = 0x0122
c = 0x0045, r = 0x81a2
c = 0x0046, r = 0x01a3
c = 0x0047, r = 0x8123
c = 0x0048, r = 0x0124
c = 0x0049, r = 0x81a4
c = 0x004a, r = 0x01a5
c = 0x004b, r = 0x8125
c = 0x004c, r = 0x0126
c = 0x004d, r = 0x81a6
c = 0x004e, r = 0x01a7
c = 0x004f, r = 0x8127
c = 0x0050, r = 0x0128
c = 0x0051, r = 0x81a8
c = 0x0052, r = 0x01a9
c = 0x0053, r = 0x8129
c = 0x0054, r = 0x012a
c = 0x0055, r = 0x81aa
c = 0x0056, r = 0x01ab
c = 0x0057, r = 0x812b
c = 0x0058, r = 0x012c
c = 0x0059, r = 0x81ac
c = 0x005a, r = 0x01ad
c = 0x005b, r = 0x812d
c = 0x005c, r = 0x012e
c = 0x005d, r = 0x81ae
c = 0x005e, r = 0x01af
c = 0x005f, r = 0x812f
c = 0x0060, r = 0x0130
c = 0x0061, r = 0x81b0
c = 0x0062, r = 0x01b1
c = 0x0063, r = 0x8131
c = 0x0064, r = 0x0132
c = 0x0065, r = 0x81b2
c = 0x0066, r = 0x01b3
c = 0x0067, r = 0x8133
c = 0x0068, r = 0x0134
c = 0x0069, r = 0x81b4
c = 0x006a, r = 0x01b5
c = 0x006b, r = 0x8135
c = 0x006c, r = 0x0136
c = 0x006d, r = 0x81b6
c = 0x006e, r = 0x01b7
c = 0x006f, r = 0x8137
c = 0x0070, r = 0x0138
c = 0x0071, r = 0x81b8
c = 0x0072, r = 0x01b9
c = 0x0073, r = 0x8139
c = 0x0074, r = 0x013a
c = 0x0075, r = 0x81ba
c = 0x0076, r = 0x01bb
c = 0x0077, r = 0x813b
